character,state,probability
c24,9,0.162619
c25,10,0.162619
c25,11,0.229145
c25,12,0.072862
c25,13,0.015839
c25,14,0.277719
c25,15,0.001056
c25,16,0.001056
c25,17,0.002112
c25,18,0.023231
c25,19,0.143611
c25,2,0.176346
c25,20,0.002112
c25,21,0.002112
c25,22,0.014784
c25,23,0.053854
c25,24,0.001056
c25,25,0.007392
c25,26,0.002112
c25,27,0.009504
c25,28,0.005280
c25,29,0.061246
c25,3,0.081309
c25,30,0.003168
c25,31,0.001056
c25,32,0.086589
c25,33,0.019007
c25,34,0.001056
c25,35,0.001056
c25,36,0.001056
c25,37,0.006336
c25,38,0.002112
c25,39,0.001056
c25,4,0.344245
c25,40,0.001056
c25,41,0.007392
c25,42,0.327350
c25,43,0.001056
c25,44,0.001056
c25,45,0.102429
c25,46,0.003168
c25,47,0.298838
c25,48,0.001056
c25,49,0.001056
c25,5,0.039071
c25,50,0.001056
c25,51,0.003168
c25,52,0.001056
c25,53,0.011616
c25,6,0.383316
c25,7,0.192186
c25,8,0.252376
c25,9,0.299894
c26,10,0.299894
c26,11,0.373812
c26,12,0.001056
c26,13,0.001056
c26,14,0.001056
c26,15,0.168955
c26,16,0.237592
c26,17,0.398099
c26,18,0.220697
c26,19,0.008448
c26,2,0.116156
c26,20,0.232313
c26,21,0.178458
c26,22,0.368532
c26,23,0.001056
c26,24,0.275607
c26,25,0.162619
c26,26,0.032735
c26,27,0.183738
c26,28,0.036959
c26,29,0.017951
c26,3,0.344245
c26,30,0.001056
c26,31,0.008448
c26,32,0.001056
c26,33,0.009504
c26,34,0.010560
c26,35,0.001056
c26,36,0.042239
c26,37,0.034847
c26,38,0.161563
c26,39,0.298838
c26,4,0.026399
c26,40,0.028511
c26,41,0.011616
c26,42,0.001056
c26,43,0.198522
c26,44,0.001056
c26,45,0.001056
c26,46,0.010560
c26,5,0.435058
c26,6,0.727561
c26,7,0.322070
c26,8,0.002112
c26,9,0.104541
c27,10,0.034847
c27,11,0.033791
c27,12,0.098205
c27,13,0.001056
c27,14,0.244984
c27,15,0.010560
c27,16,0.027455
c27,17,0.001056
c27,18,0.345301
c27,19,0.001056
c27,2,0.568110
c27,3,0.447730
c27,4,0.158395
c27,5,0.005280
c27,6,0.279831
c27,7,0.335797
c27,8,0.643083
c27,9,0.021119
c28,2,0.158395
c28,3,0.176346
c28,4,0.383316
c28,5,0.102429
c28,6,0.084477
c29,10,0.030623
c29,11,0.005280
c29,12,0.398099
c29,13,0.008448
c29,14,0.322070
c29,15,0.162619
c29,16,0.299894
c29,17,0.237592
c29,18,0.016895
c29,19,0.435058
c29,2,0.031679
c29,20,0.006336
c29,21,0.002112
c29,22,0.058078
c29,23,0.373812
c29,24,0.010560
c29,25,0.074974
c29,26,0.168955
c29,27,0.178458
c29,28,0.002112
c29,29,0.011616
c29,3,0.055966
c29,30,0.220697
c29,31,0.001056
c29,32,0.024287
c29,33,0.030623
c29,34,0.368532
c29,35,0.059134
c29,36,0.001056
c29,37,0.010560
c29,38,0.052798
c29,39,0.001056
c29,4,0.158395
c29,40,0.006336
c29,41,0.275607
c29,42,0.344245
c29,43,0.001056
c29,44,0.232313
c29,5,0.006336
c29,6,0.001056
c29,7,0.116156
c29,8,0.001056
c29,9,0.727561
